City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
81,Ambovombe,MG,1650487921,-25.1667,46.0833,73.17,88,34,18.14
82,Atuona,PF,1650487822,-9.8,-139.0333,79.63,71,54,18.16
83,Muros,ES,1650487752,42.7762,-9.0603,49.84,71,6,7.27
84,Camargo,MX,1650487922,27.6667,-105.1667,91.29,8,99,4.14
85,Tual,ID,1650487922,-5.6667,132.75,83.12,74,100,4.14
86,Pangody,RU,1650487923,65.85,74.4859,4.66,92,99,19.3
87,Coquimbo,CL,1650487923,-29.9533,-71.3436,60.53,77,20,10.36
88,Kirakira,SB,1650487923,-10.4544,161.9205,82.02,81,95,7.76
89,Phanat Nikhom,TH,1650487924,13.4458,101.1844,87.01,99,81,4.16
90,Rio Rancho,US,1650487833,35.2334,-106.6645,85.33,8,34,13
91,Verkhnyaya Inta,RU,1650487924,65.9811,60.3094,8.55,92,96,7.2
92,Valparaíso,CL,1650487925,-33.0393,-71.6273,73.04,69,0,9.22
93,Lagunillas,VE,1650487925,10.1301,-71.2595,83.91,69,84,3.98
94,Esperance,AU,1650487925,-33.8667,121.9,57.04,76,83,7.2
95,Yangi Marg`ilon,UZ,1650487926,40.4272,71.7189,61.52,72,100,0
96,San Lorenzo,PY,1650487926,-25.3333,-57.5333,81.59,61,20,7
97,Barra Patuca,HN,1650487927,15.8,-84.2833,83.48,66,6,9.4
98,Hamilton,US,1650487746,39.1834,-84.5333,67.23,34,0,14.97
99,Viedma,AR,1650487928,-40.8135,-62.9967,53.53,77,99,17.22
100,Hobart,AU,1650487852,-42.8794,147.3294,46.26,76,40,6.91
101,Lamont,US,1650487928,35.2597,-118.9143,71.08,42,1,7.31
102,Mhlume,SZ,1650487929,-26.0333,31.85,60.64,94,99,2.39
103,Lebedyn,UA,1650487929,50.5852,34.4849,39.6,87,59,11.39
104,Antofagasta,CL,1650487930,-23.65,-70.4,65.48,76,51,8.23
105,Coyhaique,CL,1650487887,-45.5752,-72.0662,51.75,62,75,5.75
106,Sitka,US,1650487930,57.0531,-135.33,51.69,54,20,8.05
107,Praia,CV,1650487712,14.9215,-23.5087,72.14,78,20,19.57
108,Platteville,US,1650487858,42.7342,-90.4785,45.32,100,100,17.27
109,Severo-Kuril'sk,RU,1650487760,50.6789,156.125,34.9,94,76,9.48
110,Mosquera,CO,1650487931,4.7059,-74.2302,59.09,77,75,0
111,Upernavik,GL,1650487932,72.7868,-56.1549,-0.44,77,14,5.75
112,São Filipe,CV,1650487932,14.8961,-24.4956,72.34,79,79,4.7
113,Pisco,PE,1650487933,-13.7,-76.2167,75.25,60,0,21.85
114,Puerto Ayora,EC,1650487829,-0.7393,-90.3518,78.76,84,100,8.61
115,Mossamedes,AO,1650487933,-15.1961,12.1522,75.78,85,100,4.34
116,Havre-St-Pierre,CA,1650487934,50.2334,-63.5986,37.76,81,75,14.97
117,Kabwe,ZM,1650487934,-14.4469,28.4464,61.25,96,94,6.85
118,Banda Aceh,ID,1650487935,5.5577,95.3222,79.72,79,91,3.94
119,Saskylakh,RU,1650487935,71.9167,114.0833,-0.53,99,100,3.44
120,Ostrovnoy,RU,1650487936,68.0531,39.5131,32.94,93,100,7.94
121,Castro,BR,1650487936,-24.7911,-50.0119,62.44,69,0,1.83
122,Saint-Pierre,RE,1650487937,-21.3393,55.4781,76.68,83,75,4.61
123,Kaiyuan,CN,1650487938,23.6977,103.3037,57.33,94,34,4.52
124,Aasiaat,GL,1650487938,68.7098,-52.8699,5.85,81,8,11.18
125,Auburn,US,1650487842,47.3073,-122.2284,56.71,63,100,9.22
126,Soloneshnoye,RU,1650487939,51.6544,84.3197,41.09,86,87,4.14
127,Husavik,IS,1650487940,66.0449,-17.3389,42.33,87,89,9.62
128,East London,ZA,1650487940,-33.0153,27.9116,69.13,80,1,8.88
129,Khatanga,RU,1650487941,71.9667,102.5,-16.8,100,100,2.01
130,Oranjemund,NA,1650487941,-28.55,16.4333,63.9,62,8,2.75
131,Yaan,NG,1650487942,7.3833,8.5667,86.29,56,32,5.03
132,Hofn,IS,1650487942,64.2539,-15.2082,45.5,96,100,10.69
133,Barrow,US,1650487755,71.2906,-156.7887,3.22,78,0,10.36
134,Ossora,RU,1650487943,59.2353,163.0719,19.17,86,13,2.53
135,Ketchikan,US,1650487701,55.3422,-131.6461,52.27,40,20,8.05
136,Qaanaaq,GL,1650487944,77.484,-69.3632,-0.22,79,100,7.81
137,Novobirilyussy,RU,1650487944,56.9514,90.6661,34.36,86,100,5.23
138,Steamboat Springs,US,1650487945,40.485,-106.8317,57.7,32,40,16.11
139,Adré,TD,1650487945,13.4667,22.2,79.21,49,84,2.44
140,Voh,NC,1650487946,-20.9667,164.7,75.43,79,17,4.59
141,Belmonte,BR,1650487946,-15.8631,-38.8828,77.94,78,13,10.94
142,Ariquemes,BR,1650487947,-9.9133,-63.0408,79.29,93,100,1.45
143,Yafran,LY,1650487947,32.0633,12.5286,74.7,13,98,22.21
144,Renqiu,CN,1650487948,38.6989,116.0936,65.17,42,97,16.6
145,Henties Bay,NA,1650487949,-22.116,14.2845,70.97,59,48,6.98
146,Teya,RU,1650487949,60.3778,92.6267,22.48,98,100,2.84
147,Puerto Maldonado,PE,1650487950,-12.6,-69.1833,86.4,70,20,2.3
148,Warsaw,PL,1650487838,52.2298,21.0118,46.54,93,100,8.05
149,Kontagora,NG,1650487950,10.3999,5.4695,86.05,49,100,4.47
150,San Cristobal,VE,1650487800,7.7669,-72.225,80.78,81,98,0.2
151,Bridgeton,US,1650487850,39.4273,-75.2341,61.16,33,0,10.36
152,Dandong,CN,1650487951,40.1292,124.3947,48.25,73,2,7.78
153,New Norfolk,AU,1650487951,-42.7826,147.0587,45.9,70,8,1.01
154,Jamestown,US,1650487952,42.097,-79.2353,53.53,33,0,4.61
155,Atar,MR,1650487952,20.5169,-13.0499,86.34,17,14,8.86
156,Bengkulu,ID,1650487953,-3.8004,102.2655,75.83,89,99,8.9
157,Cap Malheureux,MU,1650487953,-19.9842,57.6142,76.46,88,100,3
158,Española,US,1650487953,35.9911,-106.0806,81.28,7,22,3
159,Naze,JP,1650487954,28.3667,129.4833,68.92,79,100,8.93
160,George Town,MY,1650487918,5.4112,100.3354,78.73,93,20,0
161,Hobyo,SO,1650487954,5.3505,48.5268,82.72,66,100,12.68
162,Novoagansk,RU,1650487955,61.9449,76.6625,13.6,93,79,8.3
163,Samarai,PG,1650487955,-10.6167,150.6667,81.88,80,98,11.9
164,Saldanha,ZA,1650487956,-33.0117,17.9442,60.85,88,91,7.38
165,Hokitika,NZ,1650487956,-42.7167,170.9667,64.09,94,100,13.87
166,Yārāda,IN,1650487956,17.65,83.2667,81.82,86,7,14.16
167,Alto Araguaia,BR,1650487899,-17.3147,-53.2153,75.94,59,1,2.15
168,Baykit,RU,1650487957,61.67,96.37,7.63,98,99,1.74
169,Shache,CN,1650487958,38.4167,77.2406,66.87,35,78,12.44
170,Ribas do Rio Pardo,BR,1650487958,-20.4431,-53.7592,83.05,39,25,3.6
171,Klaksvík,FO,1650487959,62.2266,-6.589,45.52,92,3,15.37
172,Carnarvon,AU,1650487959,-24.8667,113.6333,66.27,48,71,8.05
173,Mayo,US,1650487960,38.8876,-76.5119,63.77,41,0,6.91
174,Chebenki,RU,1650487961,51.9337,55.7077,56.95,60,100,3.02
175,Richards Bay,ZA,1650487962,-28.783,32.0377,63.77,88,100,7.23
176,Kalabo,ZM,1650487962,-14.97,22.6814,63.52,66,4,6.08
177,Taoudenni,ML,1650487963,22.6783,-3.9836,90.5,10,2,9.91
178,Launceston,AU,1650487963,-41.45,147.1667,45.16,74,36,4.61
179,Zastavna,UA,1650487964,48.5231,25.8437,40.93,86,100,3.4
180,Narsaq,GL,1650487964,60.9167,-46.05,33.22,54,46,3.13
181,Gambēla,ET,1650487965,8.25,34.5833,74.64,86,100,2.37
182,Tel Aviv-Yafo,IL,1650487965,32.0805,34.7805,63.1,73,20,3.44
183,Verkhnevilyuysk,RU,1650487966,63.4453,120.3167,18.43,95,100,4.94
184,Kismayo,SO,1650487966,-0.3582,42.5454,81.12,80,100,6.64
185,Christchurch,NZ,1650487831,-43.5333,172.6333,74.41,61,63,14.97
186,Sabang,ID,1650487967,5.8933,95.3214,82.13,75,99,5.08
187,Birin,NP,1650487967,26.8865,88.0718,57.45,84,25,2.28
188,College,US,1650487968,64.8569,-147.8028,43.2,37,20,0
189,Ust'-Ordynskiy,RU,1650487968,52.805,104.7508,30.87,80,100,5.12
190,Margherita,IN,1650487969,27.2833,95.6833,67.98,95,33,2.44
191,Ylöjärvi,FI,1650487970,61.5563,23.5961,45.95,66,0,1.14
192,Comodoro Rivadavia,AR,1650487970,-45.8667,-67.5,64.26,29,0,23.02
193,Mahébourg,MU,1650487971,-20.4081,57.7,76.24,94,40,5.75
194,Ellensburg,US,1650487971,46.9965,-120.5479,51.58,55,100,13
195,San Antonio,US,1650487972,29.4241,-98.4936,86.45,60,100,16.11
196,São João da Barra,BR,1650487836,-21.6403,-41.0511,80.69,80,0,11.16
197,Laas,IT,1650487972,46.6166,10.7002,49.08,96,83,1.9
198,Ushtobe,KZ,1650487972,45.2514,77.9838,49.66,24,100,1.12
199,Santa Maria,BR,1650487760,-29.6842,-53.8069,78.1,53,0,10.36
200,Nguru,NG,1650487973,12.8791,10.4526,88.48,15,41,5.35
201,Kruisfontein,ZA,1650487973,-34.0033,24.7314,70.32,35,92,4.25
202,Neuquén,AR,1650487974,-38.9516,-68.0591,64.29,32,0,9.22
203,Rawson,AR,1650487975,-43.3002,-65.1023,62.24,31,100,12.95
204,Zarubino,RU,1650487975,42.63,131.0922,42.33,89,1,7.94
205,Namatanai,PG,1650487976,-3.6667,152.4333,81.21,79,98,8.72
206,Palana,RU,1650487976,59.1167,159.9667,17.04,78,5,4.68
207,Black Diamond,US,1650487977,47.3087,-122.0032,54.75,57,100,8.01
208,Makakilo City,US,1650487977,21.3469,-158.0858,78.19,68,75,16.11
209,Bubaque,GW,1650487978,11.2833,-15.8333,75.96,77,94,19.69
210,Siyabuswa,ZA,1650487979,-25.1132,29.0445,60.57,69,23,3.13
211,Jüterbog,DE,1650487979,51.9833,13.0833,50.65,61,100,1.99
212,Okhotsk,RU,1650487980,59.3833,143.3,23.18,90,100,5.73
213,Roura,GF,1650487980,4.7263,-52.3274,77.97,94,75,5.75
214,Clyde River,CA,1650487980,70.4692,-68.5914,3.43,78,75,11.5
215,Grand-Lahou,CI,1650487981,5.1367,-5.0242,80.28,89,99,7.54
216,Grand Gaube,MU,1650487981,-20.0064,57.6608,76.37,88,100,3
217,Madaoua,NE,1650487982,14.073,5.96,89.8,14,43,4.72
218,Lompoc,US,1650487983,34.6391,-120.4579,73.02,64,0,21.99
219,Regina,CA,1650487817,50.4501,-104.6178,35.04,89,100,23.02
220,Ponta do Sol,PT,1650487984,32.6667,-17.1,62.71,66,22,6.89
221,Atotonilco el Grande,MX,1650487984,20.2833,-98.6667,81.91,28,48,11.99
222,Tuktoyaktuk,CA,1650487985,69.4541,-133.0374,3.2,92,40,5.75
223,Vila Velha,BR,1650487757,-20.3297,-40.2925,78.75,82,20,10.36
224,Kamina,CD,1650487985,-8.7386,24.9906,66.63,92,100,3.33
225,Lawrence,US,1650487775,38.9717,-95.2353,62.76,86,100,11.5
226,Stornoway,GB,1650487986,58.2093,-6.3865,48.92,84,20,6.91
227,Kutum,SD,1650487986,14.2,24.6667,79.54,18,78,12.19
228,Destin,US,1650487696,30.3935,-86.4958,81.05,60,0,14.97
229,Cidreira,BR,1650487987,-30.1811,-50.2056,67.77,75,0,7.63
230,Kloulklubed,PW,1650487987,7.0419,134.2556,75.7,84,100,16.22
231,Fortuna,US,1650487988,40.5982,-124.1573,56.98,91,75,11.5
232,Leh,IN,1650487989,34.1667,77.5833,40.39,58,93,4.72
233,Lexington,US,1650487446,37.9887,-84.4777,71.49,31,0,13.8
234,San Patricio,US,1650487989,28.017,-97.5169,85.17,58,98,21.43
235,Mnogovershinnyy,RU,1650487990,53.9353,139.9242,25.81,96,100,5.14
236,Muisne,EC,1650487990,0.6,-80.0333,79.39,81,91,9.17
237,Kahului,US,1650487991,20.8947,-156.47,82.42,60,40,18.99
238,Port Hedland,AU,1650487991,-20.3167,118.5667,77.05,38,92,8.05
239,Dalby,AU,1650487992,-27.1833,151.2667,59.56,59,2,6.04
240,Manicoré,BR,1650487993,-5.8092,-61.3003,78.71,95,91,0.69
241,Longyearbyen,SJ,1650487993,78.2186,15.6401,28.24,69,40,19.57
242,Vettavalam,IN,1650487993,12.1,79.25,79.84,84,5,5.06
243,Mamontovo,RU,1650487994,52.7055,81.6244,38.8,88,100,5.44
244,Chāndor,IN,1650487994,20.3333,74.25,82.53,24,85,13.13
245,Kaputa,ZM,1650487995,-8.4689,29.6619,69.69,87,100,2.48
246,Ancud,CL,1650487995,-41.8697,-73.8203,51.22,75,100,13.6
247,Saint Anthony,US,1650487872,45.0205,-93.218,44.92,92,100,9.22
248,Ayamé,CI,1650487996,5.6083,-3.1563,76.51,93,65,2.48
249,Neiafu,TO,1650487996,-18.65,-173.9833,81.86,75,99,13.31
250,Senanga,ZM,1650487997,-16.1167,23.2667,62.42,67,1,5.59
251,Ambajogai,IN,1650487997,18.7333,76.3833,88.84,20,84,8.66
252,Avera,US,1650487829,33.194,-82.5271,73.54,41,64,9.48
253,Conde,BR,1650487996,-7.2597,-34.9075,78.26,89,100,14.97
254,Fare,PF,1650487998,-16.7,-151.0167,80.82,70,10,5.17
255,Kralendijk,BQ,1650487914,12.15,-68.2667,84.18,70,75,16.11
256,Arrondissement de Figeac,FR,1650487998,44.75,1.9167,50.38,98,100,1.48
257,Cícero Dantas,BR,1650487902,-10.6,-38.3833,74.77,82,81,9.48
258,Margate,GB,1650487999,51.3813,1.3862,51.31,81,33,5.01
259,Plettenberg Bay,ZA,1650487999,-34.0527,23.3716,72.1,39,87,6.89
260,Esperantinópolis,BR,1650488000,-4.8667,-44.7083,76.64,94,96,0.72
261,Cap-aux-Meules,CA,1650488000,47.3821,-61.8597,48.25,61,75,17.27
262,Camacha,PT,1650488001,33.0833,-16.3333,58.42,67,75,16.11
263,Zyryanka,RU,1650488001,65.75,150.85,12.07,93,99,4.99
264,Portland,US,1650487924,45.5234,-122.6762,51.53,89,100,17.27
265,Carballo,ES,1650488002,43.213,-8.691,49.69,83,16,0.58
266,Kaabong,UG,1650488002,3.4836,34.1492,67.19,73,91,5.91
267,Ribeira Grande,PT,1650487906,38.5167,-28.7,61.2,67,75,4.61
268,Salalah,OM,1650488003,17.0151,54.0924,77.83,76,1,3.09
269,Vila Franca do Campo,PT,1650488003,37.7167,-25.4333,59.41,63,94,2.51
270,Airai,TL,1650487783,-8.9266,125.4092,58.75,89,87,2.39
271,Provideniya,RU,1650488004,64.3833,-173.3,30.36,64,0,0
272,Asău,RO,1650488005,46.4333,26.4,41.95,76,93,4.74
273,Talnakh,RU,1650488005,69.4865,88.3972,-3.21,91,47,4.07
274,Atbasar,KZ,1650488006,51.8,68.3333,54,69,100,8.97
275,Mount Gambier,AU,1650488006,-37.8333,140.7667,51.71,93,100,4.61
276,Yulara,AU,1650488007,-25.2406,130.9889,57.04,44,40,6.91
277,Fort Nelson,CA,1650488008,58.8053,-122.7002,38.79,28,75,2.3
278,Nhulunbuy,AU,1650488008,-12.2333,136.7667,75.81,94,100,0
279,Hong Kong,HK,1650487712,22.2855,114.1577,73.18,85,91,1.99
280,Yerbogachën,RU,1650488009,61.2767,108.0108,10.51,97,34,3.42
281,Spokane,US,1650487860,47.6166,-117.3677,53.69,43,75,10.36
282,Half Moon Bay,US,1650488009,37.4636,-122.4286,72.82,49,20,16.11
283,Passo de Camaragibe,BR,1650488010,-9.2368,-35.4901,81.95,81,34,4.23
284,Vila do Maio,CV,1650488010,15.1333,-23.2167,72.39,82,69,13.42
285,Aklavik,CA,1650488011,68.2191,-135.0107,19.4,63,0,3.44
286,Kiryat Gat,IL,1650488011,31.61,34.7642,60.82,100,0,5.26
287,Herrán,CO,1650488011,7.5061,-72.4833,70,97,100,0.18
288,Jasper,US,1650487956,37.2001,-94.3502,63.01,77,100,19.57
289,Radcliff,US,1650488012,37.8404,-85.9491,70.23,21,100,13.8
290,Maceió,BR,1650487794,-9.6658,-35.7353,83.64,65,20,11.5
291,Iqaluit,CA,1650488013,63.7506,-68.5145,20.93,79,100,5.75
292,Yumen,CN,1650488013,40.2833,97.2,48.58,16,100,7.23
293,Pauini,BR,1650488013,-7.7136,-66.9764,80.19,74,97,3.65
294,São Félix do Xingu,BR,1650487969,-6.6447,-51.995,78.53,89,72,1.72
295,Progreso,MX,1650488014,21.2833,-89.6667,98.11,60,0,19.77
296,Nikolskoye,RU,1650488014,59.7035,30.7861,48.09,94,32,8.48
297,San Andrés,CO,1650488015,12.5847,-81.7006,86.02,66,40,6.91
298,Lamesa,US,1650488015,32.7376,-101.951,91.53,6,5,11.5
299,Davila,PH,1650488015,18.4726,120.5763,80.38,74,1,5.88
300,Kununurra,AU,1650488016,-15.7667,128.7333,71.58,88,96,1.14
301,Brae,GB,1650488016,60.3964,-1.353,45.45,85,99,9.98
302,Rodrigues Alves,BR,1650488017,-7.738,-72.6509,79,93,93,0.81
303,Parkes,AU,1650488017,-33.1333,148.1833,52.25,76,16,2.28
304,Tanout,NE,1650488018,14.9709,8.8879,86,15,14,6.62
305,Rahā,IN,1650488018,26.2333,92.5167,72.5,68,13,2.48
306,Lüderitz,NA,1650488019,-26.6481,15.1594,70.83,42,2,5.23
307,Alofi,NU,1650488019,-19.0595,-169.9187,80.49,89,75,5.75
308,Port Blair,IN,1650488020,11.6667,92.75,82.98,73,35,6.64
309,Danilov,RU,1650488020,58.1908,40.1717,42.44,72,100,9.57
310,Poniatowa,PL,1650488021,51.1798,22.1309,43.95,97,100,7.52
311,Yuzhno-Kurilsk,RU,1650488022,44.0306,145.8556,41.63,81,0,14.65
312,Gezing,AT,1650488022,47.9178,13.1299,39.81,80,0,2.3
313,Honningsvåg,NO,1650488023,70.9821,25.9704,40.75,75,68,0
314,Aginskoye,RU,1650488023,51.1,114.53,26.65,59,3,8.68
315,Miyakonojō,JP,1650488024,31.7333,131.0667,57.2,93,100,3.02
316,Flinders,AU,1650488024,-34.5833,150.8552,57.06,82,1,1.99
317,Angoche,MZ,1650488025,-16.2325,39.9086,74.73,94,82,10.58
318,Waipawa,NZ,1650488025,-41.4122,175.5153,63.34,75,83,9.01
319,Clovis,US,1650488026,36.8252,-119.7029,75.61,43,5,1.99
320,Marabba,SD,1650488026,12.35,32.1833,92.79,20,58,4.38
321,Necochea,AR,1650488026,-38.5473,-58.7368,61.18,87,95,19.73
322,Mashhad,IR,1650488027,36.297,59.6062,59.14,77,0,4.61
323,Codrington,AU,1650488028,-38.2667,141.9667,53.91,78,67,8.5
324,Ürümqi,CN,1650487802,43.801,87.6005,56.35,23,0,4.47
325,La Cruz,MX,1650488028,23.9167,-106.9,80.71,54,11,9.22
326,Baie-Comeau,CA,1650487741,49.2168,-68.1489,40.68,60,100,12.66
327,Azul,AR,1650488029,-36.777,-59.8585,59.34,76,100,9.35
328,Murgab,TM,1650488029,37.4966,61.9714,58.87,88,0,4.61
329,Yangambi,CD,1650488030,0.8102,24.4336,70.03,98,100,2.39
330,Sanguéya,GN,1650488031,10.7,-14.3667,78.73,68,57,5.17
331,Shimoda,JP,1650488031,34.6667,138.95,53.1,79,99,7.85
332,Gao,ML,1650488032,16.6362,1.637,87.21,10,16,10.27
333,Hambantota,LK,1650488033,6.1241,81.1185,79.02,86,5,3.94
334,Port Augusta,AU,1650488033,-32.5,137.7667,59.97,77,100,7.76
335,Gewanē,ET,1650488033,10.1664,40.6453,83.93,41,15,3.33
336,Miandrivazo,MG,1650488034,-19.5167,45.4667,77.74,82,4,2.44
337,Cascais,PT,1650487962,38.6979,-9.4215,56.46,67,20,35.99
338,Shebunino,RU,1650488034,46.4339,141.8603,46.71,76,72,24.58
339,Norman Wells,CA,1650488035,65.282,-126.8329,32.04,34,0,4.61
340,Kangaatsiaq,GL,1650488036,68.3065,-53.4641,6.6,81,8,12.41
341,Chirilagua,SV,1650488036,13.2203,-88.1386,87.49,49,10,7.92
342,Ahipara,NZ,1650487902,-35.1667,173.1667,68.63,84,87,9.22
343,Cherskiy,RU,1650488037,68.75,161.3,19.63,82,86,4.36
344,Sinnamary,GF,1650488037,5.3833,-52.95,77.59,90,100,11.3
345,Kiunga,PG,1650488038,-6.1219,141.2906,73.26,100,99,1.16
346,Isangel,VU,1650488038,-19.55,169.2667,80.35,75,54,8.08
347,Sorong,ID,1650488039,-0.8833,131.25,79.21,85,84,4.23
348,Osakarovka,KZ,1650488039,50.565,72.5692,49.86,79,75,11.23
349,Nome,US,1650488040,64.5011,-165.4064,35.11,60,4,3.94
350,Warri,NG,1650488041,5.5167,5.75,79.29,89,81,3
351,Ishinomaki,JP,1650488041,38.4167,141.3,42.8,91,2,3.42
352,Haines Junction,CA,1650488041,60.7522,-137.5108,37.35,35,100,3.44
353,Lebanon,US,1650488042,36.2081,-86.2911,73.62,20,0,13.8
354,Salym,RU,1650488042,60.0625,71.4789,27.91,94,100,9.1
355,Morón,AR,1650488043,-34.6534,-58.6198,78.49,55,83,3.74
356,Zhezkazgan,KZ,1650488043,47.8043,67.7144,54.57,44,6,3.51
357,Cartagena del Chairá,CO,1650488044,1.3349,-74.8429,79.2,90,94,0.92
